,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
375,Opponent,4,return_plus_one,Forehand,Topspin,81,138,0,0,no_mans_land,ad,far,3.59213,18.308119,no_mans_land,ad,near,-2.797354,0.377393,0.898932,inside out,In,False,16:40:01,3675.699951,0,,,,,,,,,,,
376,Player,5,in_play,Backhand,Topspin,80,138,0,0,service_box,ad,near,-2.122147,6.479804,no_mans_land,ad,far,4.024581,23.375099,1.16803,cross court,In,False,16:40:02,3676.97998,0,,,,,,,,,,,
377,Opponent,6,in_play,Backhand,Flat,105,138,0,0,out,deuce,far,-3.296906,23.0,no_mans_land,ad,near,-3.799969,0.210865,0.335844,down the line,In,False,16:40:04,3678.5,0,In,Out,-3.296906,25.179247,-3.296906,23.0,,,,,
378,Opponent,0,none,Forehand,Topspin,75,139,0,0,out,deuce,near,1.75033,-0.736117,out,deuce,near,0.502367,-1.537699,1.804034,cross court,Net,False,16:40:08,3682.679932,1,,,,,,,,,,,
379,Opponent,0,serve,Serve,Slice,154,140,0,0,service_box,deuce,far,-0.097929,15.621543,no_mans_land,deuce,near,-0.175649,0.459187,1.844746,down the T,In,False,16:40:13,3687.620117,0,,,,,,,,,,,
380,Opponent,0,return,Forehand,Flat,85,140,0,0,service_box,deuce,near,0.897254,6.24298,no_mans_land,deuce,near,0.362989,-0.212083,2.01143,cross court,Net,False,16:40:18,3692.379883,0,,,,,,,,,,,
381,Player,1,serve,Serve,Flat,157,141,0,0,service_box,ad_alley,far,4.935154,14.833732,no_mans_land,deuce,far,-0.957963,24.121338,2.776886,out wide,Net,False,16:40:35,3709.280029,-2,,,,,,,swapped srv,,,,
382,Player,1,serve,Serve,Flat,158,142,0,0,service_box,deuce,near,0.079732,6.948874,no_mans_land,deuce,far,-0.960812,24.279169,2.567589,down the T,In,False,16:40:46,3720.379883,0,,,,,,,swapped srv,,,,
383,Opponent,2,return,Backhand,Flat,74,142,0,0,no_mans_land,deuce,far,-1.539985,22.117439,no_mans_land,deuce,near,0.31182,1.554487,0.878133,inside out,In,False,16:40:47,3721.120117,0,,,,,,,swapped srv,,,,
384,Player,3,serve_plus_one,Forehand,Topspin,104,142,0,0,service_box,deuce,near,1.620137,5.944837,out,deuce,far,-2.258485,26.065779,0.844354,cross court,In,False,16:40:48,3722.580078,0,,,,,,,swapped srv,,,,
385,Opponent,4,return_plus_one,Forehand,Topspin,77,142,0,0,no_mans_land,deuce,far,-1.620516,20.787573,no_mans_land,deuce,near,2.755711,0.510244,0.315988,cross court,In,False,16:40:49,3723.959961,0,,,,,,,swapped srv,,,,
386,Player,5,in_play,Forehand,Topspin,104,142,0,0,no_mans_land,deuce,near,1.760582,2.728724,no_mans_land,deuce,far,-2.003314,24.687788,0.957484,cross court,In,False,16:40:51,3725.179932,0,,,,,,,swapped srv,,,,
387,Opponent,6,in_play,Forehand,Topspin,69,142,0,0,out,ad,far,1.104704,24.894478,no_mans_land,deuce,near,1.983872,0.315527,0.676767,down the line,Out,False,16:40:52,3726.179932,0,,,,,,,swapped srv,,,,
388,Player,1,serve,Serve,Flat,167,143,0,0,service_box,ad,near,-0.624614,6.025375,no_mans_land,ad,far,0.995566,24.06518,2.411372,down the T,In,False,16:41:14,3748.939941,0,,,,,,,swapped srv,,,,
389,Opponent,2,return,Forehand,Topspin,76,143,0,0,service_box,ad,near,-0.354767,11.729399,out,ad,near,-1.331457,-1.511077,0.957893,inside out,Net,False,16:41:15,3749.52002,0,,,,,,,swapped srv,,,,
390,Player,0,none,Forehand,Topspin,70,144,0,0,no_mans_land,deuce,far,-0.720741,22.945568,no_mans_land,deuce,near,1.605198,0.493732,2.911298,cross court,In,False,16:41:26,3760.97998,1,,,,,,,,,,,
391,Opponent,1,serve,Serve,Flat,152,145,0,0,service_box,deuce,near,0.852888,5.796596,no_mans_land,deuce,far,-0.720741,24.154356,2.678933,down the T,In,False,16:41:35,3769.47998,0,,,,,,,,,,,
392,Player,2,return,Backhand,Topspin,63,145,0,0,no_mans_land,ad_alley,far,4.715183,18.325008,no_mans_land,deuce,near,1.058159,0.053157,0.796798,inside in,Out,False,16:41:36,3770.120117,0,,,,,,,,,,,
393,Opponent,0,none,Backhand,Topspin,85,146,0,0,service_box,ad,far,2.084088,18.129475,out,ad_alley,near,-4.67283,-1.716545,0.677589,down the line,In,False,16:41:56,3790.159912,0,,,,,,,,,,,
